Manufacturer,Type,Cost,Power
ON_Semiconductor,Metal_Oxide,?,0.8
Infineon_Technologies,Metal_Oxide,0.10314,0.56
Infineon_Technologies,Metal_Oxide,0.56,0.56
Infineon_Technologies,Metal_Oxide,?,0.56
Rohm_Semiconductor,Metal_Oxide,0.10584,0.32
Rohm_Semiconductor,Metal_Oxide,0.58,0.32
Rohm_Semiconductor,Metal_Oxide,?,0.32
Rohm_Semiconductor,Metal_Oxide,0.1062,2
Rohm_Semiconductor,Metal_Oxide,0.58,2
Rohm_Semiconductor,Metal_Oxide,?,2
Diodes_Incorporated,Metal_Oxide,0.12375,1.25
Diodes_Incorporated,Metal_Oxide,0.5,1.25
Diodes_Incorporated,Metal_Oxide,?,1.25
Rohm_Semiconductor,Metal_Oxide,0.12375,1.25
Rohm_Semiconductor,Metal_Oxide,0.5,1.25
Rohm_Semiconductor,Metal_Oxide,?,1.25
Toshiba_Semiconductor_and_Storage,Metal_Oxide,0.12375,0.5
Toshiba_Semiconductor_and_Storage,Metal_Oxide,0.5,0.5
Toshiba_Semiconductor_and_Storage,Metal_Oxide,?,0.5
Rohm_Semiconductor,Metal_Oxide,0.1254,0.65
Rohm_Semiconductor,Metal_Oxide,0.51,0.65
Rohm_Semiconductor,Metal_Oxide,?,0.65
ON_Semiconductor,Metal_Oxide,0.13101,1.04
ON_Semiconductor,Metal_Oxide,0.53,1.04
ON_Semiconductor,Metal_Oxide,?,1.04
Rohm_Semiconductor,Metal_Oxide,0.1334,0.8
Rohm_Semiconductor,Metal_Oxide,0.45,0.8
Rohm_Semiconductor,Metal_Oxide,?,0.8
Rohm_Semiconductor,Metal_Oxide,0.13943,0.32
Rohm_Semiconductor,Metal_Oxide,0.57,0.32
Rohm_Semiconductor,Metal_Oxide,?,0.32
NXP_Semiconductors,Metal_Oxide,0.1395,0.53
NXP_Semiconductors,Metal_Oxide,0.44,0.53
NXP_Semiconductors,Metal_Oxide,?,0.53
Rohm_Semiconductor,Metal_Oxide,0.14124,0.55
Rohm_Semiconductor,Metal_Oxide,0.57,0.55
Rohm_Semiconductor,Metal_Oxide,?,0.55
Rohm_Semiconductor,Metal_Oxide,0.14141,1.25
Rohm_Semiconductor,Metal_Oxide,0.57,1.25
Rohm_Semiconductor,Metal_Oxide,?,1.25
ON_Semiconductor,Metal_Oxide,0.1424,1.1
ON_Semiconductor,Metal_Oxide,0.58,1.1
ON_Semiconductor,Metal_Oxide,?,1.1
Diodes_Incorporated,Metal_Oxide,0.14438,2.1
Diodes_Incorporated,Metal_Oxide,0.59,2.1
Diodes_Incorporated,Metal_Oxide,?,2.1
Infineon_Technologies,Metal_Oxide,0.14493,0.5
Infineon_Technologies,Metal_Oxide,0.46,0.5
Infineon_Technologies,Metal_Oxide,?,0.5
Rohm_Semiconductor,Metal_Oxide,0.1457,1.25
Rohm_Semiconductor,Metal_Oxide,0.46,1.25
Rohm_Semiconductor,Metal_Oxide,?,1.25
Diodes_Incorporated,Metal_Oxide,0.14725,1.25
Diodes_Incorporated,Metal_Oxide,0.46,1.25
Diodes_Incorporated,Metal_Oxide,?,1.25
Rohm_Semiconductor,Metal_Oxide,0.15035,2
Rohm_Semiconductor,Metal_Oxide,0.47,2
Rohm_Semiconductor,Metal_Oxide,?,2
Rohm_Semiconductor,Metal_Oxide,0.15438,2
Rohm_Semiconductor,Metal_Oxide,0.49,2
Rohm_Semiconductor,Metal_Oxide,?,2
Rohm_Semiconductor,Metal_Oxide,0.155,2
Rohm_Semiconductor,Metal_Oxide,0.49,2
Rohm_Semiconductor,Metal_Oxide,?,2
Toshiba_Semiconductor_and_Storage,Metal_Oxide,0.155,1
Toshiba_Semiconductor_and_Storage,Metal_Oxide,0.49,1
Toshiba_Semiconductor_and_Storage,Metal_Oxide,?,1
Diodes_Incorporated,Metal_Oxide,0.155,0.9
Diodes_Incorporated,Metal_Oxide,0.49,0.9
Diodes_Incorporated,Metal_Oxide,?,0.9
ON_Semiconductor,Metal_Oxide,0.1564,0.92
ON_Semiconductor,Metal_Oxide,0.45,0.92
ON_Semiconductor,Metal_Oxide,?,0.92
ON_Semiconductor,Metal_Oxide,0.16043,1.6
ON_Semiconductor,Metal_Oxide,0.51,1.6
ON_Semiconductor,Metal_Oxide,?,1.6
Diodes_Incorporated,Metal_Oxide,0.16275,1.5
Diodes_Incorporated,Metal_Oxide,0.51,1.5
Diodes_Incorporated,Metal_Oxide,?,1.5
Diodes_Incorporated,Metal_Oxide,0.16275,1.55
Diodes_Incorporated,Metal_Oxide,0.51,1.55
Diodes_Incorporated,Metal_Oxide,?,1.55
Toshiba_Semiconductor_and_Storage,Metal_Oxide,0.1705,1.6
Toshiba_Semiconductor_and_Storage,Metal_Oxide,0.54,1.6
Toshiba_Semiconductor_and_Storage,Metal_Oxide,?,1.6
Diodes_Incorporated,Metal_Oxide,0.17438,1.7
Diodes_Incorporated,Metal_Oxide,0.55,1.7
Diodes_Incorporated,Metal_Oxide,?,1.7
Diodes_Incorporated,Metal_Oxide,0.18488,1.54
Diodes_Incorporated,Metal_Oxide,0.62,1.54
Diodes_Incorporated,Metal_Oxide,?,1.54
Diodes_Incorporated,Metal_Oxide,0.186,1.55
Diodes_Incorporated,Metal_Oxide,0.59,1.55
Diodes_Incorporated,Metal_Oxide,?,1.55
Diodes_Incorporated,Metal_Oxide,0.1922,0.69
Diodes_Incorporated,Metal_Oxide,0.61,0.69
Diodes_Incorporated,Metal_Oxide,?,0.69
ON_Semiconductor,Metal_Oxide,0.19251,1.27
ON_Semiconductor,Metal_Oxide,0.61,1.27
ON_Semiconductor,Metal_Oxide,?,1.27
STMicroelectronics,Metal_Oxide,0.193,3
Diodes_Incorporated,Metal_Oxide,0.19375,1
Diodes_Incorporated,Metal_Oxide,0.61,1
Diodes_Incorporated,Metal_Oxide,?,1
Diodes_Incorporated,Metal_Oxide,0.19375,1.42
Diodes_Incorporated,Metal_Oxide,0.61,1.42
Diodes_Incorporated,Metal_Oxide,?,1.42
Rohm_Semiconductor,?,0.62,?
NXP_Semiconductors,Metal_Oxide,0.1955,45
NXP_Semiconductors,Metal_Oxide,0.56,45
NXP_Semiconductors,Metal_Oxide,?,45
Rohm_Semiconductor,Metal_Oxide,0.19575,0.8
Rohm_Semiconductor,Metal_Oxide,0.66,0.8
Rohm_Semiconductor,Metal_Oxide,?,0.8
